id,name,short_name,description,address_line1,address_line2,city,state,zip,country,phone,email,tax_id,lat,lng,status,full_address
0,Chinmaya Krishnalaya,UPD,Chinmaya Krishnalaya,P.O. Box 129,,Piercy,CA,95587,US,707-247-3488,cmwsecretary@chinmayamission.org,,,,A,"P.O. Box 129, Piercy, CA - 95587, US"
1,Chinmaya Mission Trinidad - Tobago Couva ,UPD,Chinmaya Mission Trinidad & Tobago Couva ,"#1 Swami Chinmayananada Dr., Calcutta Rd #1",,McBean,,,TT,,,,,,A,"#1 Swami Chinmayananada Dr., Calcutta Rd #1, McBean, TT"
2,Chinmaya Maruti,UPD,Chinmaya Maruti,1 Union St,,Andover,MA,01810,US,978-496-4834,pnar98@yahoo.com,,42.6765858,-71.1508859,A,"1 Union St, Andover, MA - 01810, US"
3,Chinmaya Stamford,UPD,Chinmaya Stamford,1 University Pl,,Stamford,CT,06901,US,203-273-1262,sunita.chinmaya@gmail.com,,41.0560942,-73.5421639,A,"1 University Pl, Stamford, CT - 06901, US"
4,Vaishnav Temple of New York,UPD,Vaishnav Temple of New York,100 Lakeville Rd,,New Hyde Park,NY,11040,US,631-759-1102,qlibalavihar@chinmayanewyork.org,,40.7341394,-73.6872595,A,"100 Lakeville Rd, New Hyde Park, NY - 11040, US"
5,Agoura Hills,UPD,Agoura Hills,1000 Kanan Rd,,Oak Park,CA,91377,US,818-635-5938,cmla-ag-coordinator@chinmayala.org,,34.1813733,-118.7721215,A,"1000 Kanan Rd, Oak Park, CA - 91377, US"
6,Harmony Middle school,UPD,Harmony Middle school,10101 W 141st St,,Overland Park,KS,66221,US,913-638-4140,rajiprak@gmail.com,,38.870733,-94.6988196,A,"10101 W 141st St, Overland Park, KS - 66221, US"
7,Chinmaya Giridhar,UPD,Chinmaya Giridhar,1016 40 Ave NW,,Calgary,AB,T2K 0E9,CA,403-971-0751,bv@chinmayacalgary.org,,51.0890767,-114.0832184,A,"1016 40 Ave NW, Calgary, AB - T2K 0E9, CA"
8,Chinmaya Sandeepany,UPD,Chinmaya Sandeepany,10160 Clayton Rd,,"San Jose,",CA,95127,US,408-636-6810,sukanya.ramachandran@cmsj.org,,37.3593226,-121.8095066,A,"10160 Clayton Rd, San Jose,, CA - 95127, US"
9,Chinmaya Prabha,UPD,Chinmaya Prabha,10353 Synott Rd,,Sugar Land,TX,77498,US,832-545-7877,mkoniki@gmail.com,,29.6659766,-95.615816,A,"10353 Synott Rd, Sugar Land, TX - 77498, US"
10,Chinmaya Mission Milwaukee,UPD,Chinmaya Mission Milwaukee,10437 W Innovation Dr,,Wauwatosa,WI,53226,US,262-424-5683,shreejay01@gmail.com,,43.0434765,-88.0446759,A,"10437 W Innovation Dr, Wauwatosa, WI - 53226, US"
11,Chinmaya Mission Ottawa,UPD,Chinmaya Mission Ottawa,1088 Ogilvie Rd,,Ottawa,ON,K1J 7P8,CA,613-749-3399 ,chinmaya.bharati.ottawa@gmail.com,,45.4252668,-75.6330256,A,"1088 Ogilvie Rd, Ottawa, ON - K1J 7P8, CA"
12,CMLA Southbay Balvihar center,UPD,CMLA Southbay Balvihar center,1101 Camino Real,,Redondo Beach,CA,90277,US,310-703-2248,lalsiv@gmail.com,,33.8275144,-118.3734959,A,"1101 Camino Real, Redondo Beach, CA - 90277, US"
13,Richmond Chapter,UPD,Richmond Chapter,11537 Nuckols Rd,,Glen Allen,VA,23059,US,804-364-1396,chinmayamissionrichmond@gmail.com,,37.687848,-77.594916,A,"11537 Nuckols Rd, Glen Allen, VA - 23059, US"
14,CMB Metrowest,UPD,CMB Metrowest,117 E Main St,,Westborough,MA,01581,US,734-276-9502,ganesans98@hotmail.com,,42.2808163,-71.6015569,A,"117 E Main St, Westborough, MA - 01581, US"
15,Chinmaya Mission Chicago,Badri,Chinmaya Mission Chicago,11S080 Kingery Hwy,,Willowbrook,IL,60527,US,708-253-3570,chanded@hotmail.com,,41.7143174,-87.9470168,A,"11S080 Kingery Hwy, Willowbrook, IL - 60527, US"
16,Chinmaya Mission Orlando,UPD,Chinmaya Mission Orlando,1221 Chinmaya Way,,Casselberry,FL,32707,US,407-770-8901,geetapandit@hotmail.com,,28.6680904,-81.2926141,A,"1221 Chinmaya Way, Casselberry, FL - 32707, US"
17,Chinmaya Mission San Diego,UPD,Chinmaya Mission San Diego,12249 9th St,,Poway,CA,92064,US,,,,32.9583179,-117.065709,A,"12249 9th St, Poway, CA - 92064, US"
18,Chinmaya Mission Minneapolis,UPD,Chinmaya Mission Minneapolis,12575 County Rd 43,,Chaska,MN,55318,US,952-368-6000,info@chinmaya-twincities.org,,44.7774268,-93.6820928,A,"12575 County Rd 43, Chaska, MN - 55318, US"
19,Chinmaya Mission Seattle,UPD,Chinmaya Mission Seattle : Unincorporated,7525 132nd avenue NE,,Kirkland,WA,98033,US,971-333-1240,info@chinmayaseattle.org,,47.6721,-122.16483,A,"7525 132nd avenue NE, Kirkland, WA 98033, US"
